stream_id,object_uid,timestamp[ns],x_min[pixel],x_max[pixel],y_min[pixel],y_max[pixel],visibility_ratio[%]
1201-1,106957734975303,59211074953733,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211074953733,,,,,0.0
1201-1,96945373046044,59211074953733,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211108281776,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211108281776,,,,,0.0
1201-1,96945373046044,59211108281776,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211141641890,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211141641890,,,,,0.0
1201-1,96945373046044,59211141641890,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211174970021,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211174970021,,,,,0.0
1201-1,96945373046044,59211174970021,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211208298152,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211208298152,,,,,0.0
1201-1,96945373046044,59211208298152,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211241626282,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211241626282,,,,,0.0
1201-1,96945373046044,59211241626282,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211274954413,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211274954413,,,,,0.0
1201-1,96945373046044,59211274954413,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211308282538,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211308282538,,,,,0.0
1201-1,96945373046044,59211308282538,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211341642646,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211341642646,,,,,0.0
1201-1,96945373046044,59211341642646,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211374970750,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211374970750,,,,,0.0
1201-1,96945373046044,59211374970750,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211408298854,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211408298854,,,,,0.0
1201-1,96945373046044,59211408298854,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211441626959,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211441626959,,,,,0.0
1201-1,96945373046044,59211441626959,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211474955063,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211474955063,,,,,0.0
1201-1,96945373046044,59211474955063,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211508283168,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211508283168,,,,,0.0
1201-1,96945373046044,59211508283168,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211541611272,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211541611272,,,,,0.0
1201-1,96945373046044,59211541611272,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211574939377,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211574939377,,,,,0.0
1201-1,96945373046044,59211574939377,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211608379481,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211608379481,,,,,0.0
1201-1,96945373046044,59211608379481,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211641707586,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211641707586,,,,,0.0
1201-1,96945373046044,59211641707586,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211675035690,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211675035690,,,,,0.0
1201-1,96945373046044,59211675035690,561.0,582.0,333.0,364.0,1.0
1201-1,106957734975303,59211708363795,538.0,561.0,278.0,300.0,1.0
1201-1,111305855142671,59211708363795,,,,,0.0
1201-1,96945373046044,59211708363795,561.0,582.0,333.0,364.0,1.0
