tracking_timestamp_us,left_yaw_rads_cpf,right_yaw_rads_cpf,pitch_rads_cpf,depth_m,left_yaw_low_rads_cpf,right_yaw_low_rads_cpf,pitch_low_rads_cpf,left_yaw_high_rads_cpf,right_yaw_high_rads_cpf,pitch_high_rads_cpf,tx_left_eye_cpf,ty_left_eye_cpf,tz_left_eye_cpf,tx_right_eye_cpf,ty_right_eye_cpf,tz_right_eye_cpf,session_uid
9992430581,0.04353927075862885,0.09347169101238252,-0.40285396575927734,1.3675049586025465,0.02678580954670906,0.07699333131313324,-0.4265446066856384,0.06009069085121155,0.1105925515294075,-0.37063586711883545,0.0315,0.0,0.0,-0.0315,0.0,0.0,78afa5e7-6382-4816-aacb-60a02c29e470
9992530597,0.03218289464712143,0.08436545729637146,-0.3904680907726288,1.3027361430147892,0.01639844849705696,0.06804843246936798,-0.4137341380119324,0.047840885818004615,0.1015111356973648,-0.3587765097618103,0.0315,0.0,0.0,-0.0315,0.0,0.0,78afa5e7-6382-4816-aacb-60a02c29e470
9992630581,0.017509065568447113,0.061379753053188324,-0.37312963604927063,1.5405464313042556,0.0023646578192710876,0.04569333791732788,-0.3959352374076843,0.032581411302089684,0.07795579731464386,-0.34196600317955017,0.0315,0.0,0.0,-0.0315,0.0,0.0,78afa5e7-6382-4816-aacb-60a02c29e470
9992730597,-0.002645358443260193,0.04486799985170365,-0.3602583110332489,1.4162781398591515,-0.01813487336039543,0.029638364911079407,-0.3827057480812073,0.012484285980463028,0.0611196830868721,-0.33000636100769043,0.0315,0.0,0.0,-0.0315,0.0,0.0,78afa5e7-6382-4816-aacb-60a02c29e470
9992830581,0.3427193462848663,0.3301325440406799,-0.07758629322052002,4.0,0.3252016007900238,0.3138665556907654,-0.09916947782039642,0.35928675532341003,0.3477733135223389,-0.054186753928661346,0.0315,0.0,0.0,-0.0315,0.0,0.0,78afa5e7-6382-4816-aacb-60a02c29e470
9992930677,0.33357587456703186,0.31586897373199463,-0.07613523304462433,3.3807070596440876,0.3165901899337769,0.2996482849121094,-0.09750084578990936,0.3497903347015381,0.3332522511482239,-0.05348103493452072,0.0315,0.0,0.0,-0.0315,0.0,0.0,78afa5e7-6382-4816-aacb-60a02c29e470
9993030661,0.3088603913784027,0.29814743995666504,-0.062322847545146935,4.0,0.2926827073097229,0.2821071147918701,-0.08336073905229567,0.32435595989227295,0.3153090476989746,-0.03939908742904663,0.0315,0.0,0.0,-0.0315,0.0,0.0,78afa5e7-6382-4816-aacb-60a02c29e470
9993130645,0.29091623425483704,0.2872813940048218,-0.047221116721630096,4.0,0.2746521234512329,0.2720979452133179,-0.06801753491163254,0.3065617084503174,0.3038225173950195,-0.02497091144323349,0.0315,0.0,0.0,-0.0315,0.0,0.0,78afa5e7-6382-4816-aacb-60a02c29e470
9993230629,0.24375370144844055,0.2443856745958328,-0.07174045592546463,4.0,0.2275923788547516,0.23009051382541654,-0.09267407655715942,0.2585993409156799,0.2601623833179474,-0.04942184314131737,0.0315,0.0,0.0,-0.0315,0.0,0.0,78afa5e7-6382-4816-aacb-60a02c29e470
9993330613,0.039077699184417725,0.10248656570911407,-0.466872364282608,1.1089032693718015,0.01687563583254814,0.0844544917345047,-0.4940378069877625,0.05918556451797485,0.1205168440937996,-0.41712066531181335,0.0315,0.0,0.0,-0.0315,0.0,0.0,78afa5e7-6382-4816-aacb-60a02c29e470
